Sex,Age,Embarked,Survived
male,22,S,0
female,38,C,1
female,26,S,1
female,35,S,1
male,35,S,0
male,,Q,0
male,54,S,0
male,2,S,0
female,27,S,1
female,14,C,1
female,4,S,1
female,58,S,1
male,20,S,0
male,39,S,0
female,14,S,0
female,55,S,1
male,2,Q,0
male,,S,1
female,31,S,0
female,,C,1
male,35,S,0
male,34,S,1
female,15,Q,1
male,28,S,1
female,8,S,0
female,38,S,1
male,,C,0
male,19,S,0
female,,Q,1
male,,S,0
male,40,C,0
female,,C,1
female,,Q,1
male,66,S,0
male,28,C,0
male,42,S,0
male,,C,1
male,21,S,0
female,18,S,0
female,14,C,1
female,40,S,0
female,27,S,0
male,,C,0
female,3,C,1
female,19,Q,1
male,,S,0
male,,Q,0
female,,Q,1
male,,C,0
female,18,S,0
male,7,S,0
male,21,S,0
female,49,C,1
female,29,S,1
male,65,C,0
male,,S,1
female,21,S,1
male,285,C,0
female,5,S,1
male,11,S,0
male,22,C,0
female,38,,1
male,45,S,0
male,4,S,0
male,,C,0
male,,C,1
female,29,S,1
male,19,S,0
female,17,S,1
male,26,S,0
male,32,S,0
female,16,S,0
male,21,S,0
male,26,C,0
male,32,S,1
male,25,S,0
male,,S,0
male,,S,0
male,83,S,1
female,30,S,1
male,22,S,0
male,29,S,1
female,,Q,1
male,28,S,0
female,17,S,1
female,33,S,1
male,16,S,0
male,,S,0
female,23,S,1
male,24,S,0
male,29,S,0
male,20,S,0
male,46,S,0
male,26,S,0
male,59,S,0
male,,S,0
male,71,C,0
male,23,C,1
female,34,S,1
male,34,S,0
female,28,S,0
male,,S,0
male,21,S,0
male,33,S,0
male,37,S,0
male,28,S,0
female,21,S,1
male,,S,1
male,38,S,0
female,,Q,1
male,47,S,0
female,145,C,0
male,22,S,0
female,20,S,0
female,17,C,0
male,21,S,0
male,705,Q,0
male,29,S,0
male,24,C,0
female,2,S,0
male,21,S,0
male,,S,0
male,325,C,0
female,325,S,1
male,54,S,0
male,12,C,1
male,,Q,0
male,24,S,1
female,,C,1
male,45,S,0
male,33,C,0
male,20,S,0
female,47,S,0
female,29,S,1
male,25,S,0
male,23,C,0
female,19,S,1
male,37,S,0
male,16,S,0
male,24,C,0
female,,C,0
female,22,S,1
female,24,S,1
male,19,Q,0
male,18,S,0
male,19,S,0
male,27,S,1
female,9,S,0
male,365,S,0
male,42,S,0
male,51,S,0
female,22,S,1
male,555,S,0
male,405,S,0
male,,S,0
male,51,C,0
female,16,Q,1
male,30,S,0
male,,S,0
male,,S,0
male,44,S,0
female,40,S,1
male,26,S,0
male,17,S,0
male,1,S,0
male,9,S,1
female,,S,1
female,45,S,0
male,,S,0
male,28,S,0
male,61,S,0
male,4,Q,0
female,1,S,1
male,21,S,0
male,56,C,0
male,18,S,0
male,,S,0
female,50,C,0
male,30,S,0
male,36,S,0
female,,S,0
male,,C,0
male,9,S,0
male,1,S,1
female,4,S,1
male,,S,0
female,,Q,1
male,45,S,1
male,40,Q,0
male,36,S,0
female,32,S,1
male,19,S,0
female,19,S,1
male,3,S,1
female,44,C,1
female,58,C,1
male,,Q,0
male,42,S,0
female,,Q,1
female,24,S,0
male,28,S,0
male,,S,0
male,34,S,0
male,455,C,0
male,18,S,1
female,2,S,0
male,32,S,0
male,26,C,1
female,16,Q,1
male,40,C,1
male,24,S,0
female,35,S,1
male,22,S,0
male,30,S,0
male,,Q,0
female,31,C,1
female,27,S,1
male,42,S,0
female,32,C,1
male,30,S,0
male,16,S,1
male,27,S,0
male,51,S,0
male,,S,0
male,38,S,1
male,22,S,0
male,19,S,1
male,205,S,0
male,18,S,0
female,,S,0
female,35,S,1
male,29,S,0
male,59,S,0
female,5,S,1
male,24,S,0
female,,S,0
male,44,S,0
female,8,S,1
male,19,S,0
male,33,S,0
female,,C,0
female,,Q,1
male,29,S,0
male,22,S,0
male,30,C,0
male,44,Q,0
female,25,S,0
female,24,S,1
male,37,S,1
male,54,S,0
male,,S,0
female,29,S,0
male,62,S,0
male,30,S,0
female,41,S,0
female,29,C,1
female,,C,1
female,30,S,1
female,35,C,1
female,50,S,1
male,,Q,0
male,3,S,1
male,52,S,0
male,40,S,0
female,,Q,0
male,36,S,0
male,16,S,0
male,25,S,1
female,58,S,1
female,35,S,1
male,,S,0
male,25,S,1
female,41,S,1
male,37,C,0
female,,Q,1
female,63,S,1
female,45,S,0
